;Données Flux données API;;;;;;Données SFD;;;;;
/infoVenteDimension;infoVenteDimension;;;;nombreProduitsNonGratuitsDansLot;;;;info_vente_dimension;;nombre_produits_non_gratuits_dans_lot;
/infoVenteDimension;infoVenteDimension;;;;descriptionContenantPrincipal;;;;info_vente_dimension;;description_contenant_principal;
/infoVenteDimension;infoVenteDimension;;;;contenanceHorsGratuite;;;;info_vente_dimension;;contenance_hors_gratuite;
/infoVenteDimension;infoVenteDimension;;;;iVDUniteDeMesureContenanceHorsGratuite;;;;info_vente_dimension;;um_contenance_hors_gratuite (IVD_unite_de_mesure_contenance_hors_gratuite);
/infoVenteDimension;infoVenteDimension;;;;iVDTypeGratuite;;;;info_vente_dimension;;identifiant_unique_type_gratuite (IVD_type_gratuite);
/infoVenteDimension;infoVenteDimension;;;;nombreProduitGratuitDansLot;;;;info_vente_dimension;;nombre_produit_gratuit_dans_lot;
/infoVenteDimension;infoVenteDimension;;;;descriptionContenantProduitGratuit;;;;info_vente_dimension;;description_contenant_produit_gratuit;
/infoVenteDimension;infoVenteDimension;;;;contenanceGratuite;;;;info_vente_dimension;;contenance_gratuite;
/infoVenteDimension;infoVenteDimension;;;;iVDUniteDeMesureContenanceGratuite;;;;info_vente_dimension;;um_contenance_gratuite (IVD_unite_de_mesure_contenance_gratuite);
/infoVenteDimension;infoVenteDimension;;;;contenanceTotaleCalculee;;;;info_vente_dimension;;contenance_totale_calculee;
/infoVenteDimension;infoVenteDimension;;;;iVDUniteDeMesureContenanceTotaleCalculee;;;;info_vente_dimension;;um_contenance_totale_calculee (IVD_unite_de_mesure_contenance_totale_calculee);
/infoVenteDimension;infoVenteDimension;;;;iVDEntite;;;;info_vente_dimension;;proprietaire (IVD_entite);
/infoVenteDimension;infoVenteDimension;;;;dateCreation;;;;info_vente_dimension;;date_creation;
/infoVenteDimension;infoVenteDimension;;;;dateMaj;;;;info_vente_dimension;;date_maj;
/infoVenteAsset;infoVenteAsset;;;;identifiantUniqueInfoVenteAsset;;info_vente_asset;;;identifiant_unique_info_vente_asset;;
/infoVenteAsset;infoVenteAsset;;;;typeAsset;;info_vente_asset;;;type_asset;;
/infoVenteAsset;infoVenteAsset;;;;lienVersAsset;;info_vente_asset;;;lien_vers_asset;;
/infoVenteAsset;infoVenteAsset;;;;dateDebutValidite;;info_vente_asset;;;date_debut_validite;;
/infoVenteAsset;infoVenteAsset;;;;dateFinValidite;;info_vente_asset;;;date_fin_validite;;
/infoVenteAsset;infoVenteAsset;;;X;iVAEntite;;info_vente_asset;;;proprietaire (IVA_entite);;
/infoVenteAsset;infoVenteAsset;;;;dateCreation;;info_vente_asset;;;date_creation;;
/infoVenteAsset;infoVenteAsset;;;;dateMaj;;info_vente_asset;;;date_maj;;
/infoAchatGeneralite;infoAchatGeneralite;;;;identifiantUniqueInfoAchatGeneralite;;info_achat_generalite;;;identifiant_unique_info_achat_generalite;;
/infoAchatGeneralite;infoAchatGeneralite;;;X;iAGPaysConditionnement;;info_achat_generalite;;;identifiant_unique_pays_conditionnement (IAG_pays_conditionnement);;
/infoAchatGeneralite;infoAchatGeneralite;;;;flagArticlePenalisable;;info_achat_generalite;;;flag_article_penalisable;;
/infoAchatGeneralite;infoAchatGeneralite;;;;dateDebutCommandePenalisable;;info_achat_generalite;;;date_debut_commande_penalisable;;
/infoAchatGeneralite;infoAchatGeneralite;;;;dateFinCommandePenalisable;;info_achat_generalite;;;date_fin_commande_penalisable;;
/infoAchatGeneralite;infoAchatGeneralite;;;;identifiantUniqueFabricant;;info_achat_generalite;;;identifiant_unique_fabricant;;
/infoAchatGeneralite;infoAchatGeneralite;;;;exclusVenteExport;;info_achat_generalite;;;exclus_vente_export;;
/infoAchatGeneralite;infoAchatGeneralite;;;;informationQrCode;;info_achat_generalite;;;information_qr_code;;
/infoAchatGeneralite;infoAchatGeneralite;;;;negoPrixSca;;info_achat_generalite;;;nego_prix_sca;;
/infoAchatGeneralite;infoAchatGeneralite;;;X;iAGEntite;;info_achat_generalite;;;proprietaire (IAG_entite);;
/infoAchatGeneralite;infoAchatGeneralite;;;;dateCreation;;info_achat_generalite;;;date_creation;;
/infoAchatGeneralite;infoAchatGeneralite;;;;dateMaj;;info_achat_generalite;;;date_maj;;
/infoAchatGeneralite;infoAchatGeneralite;;filiere;;identifiantUniqueFiliere;;info_achat_generalite;;filiere;identifiant_unique_filiere;;
/infoAchatGeneralite;infoAchatGeneralite;infoAchatGeneralite;;;;;info_achat_generalite;;;;;
/infoAchatGeneralite;infoAchatGeneralite;infoAchatInformationCommande;;;;;info_achat_generalite;;;;;
/infoAchatGeneralite;infoAchatGeneralite;infoAchatProvenance;;;;;info_achat_generalite;;;;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;;;identifiantUniqueInfoAchatInformationCommande;;info_achat_information_commande;;;identifiant_unique_info_achat_information_commande;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;;;indicateurMarquagePrixVente;;info_achat_information_commande;;;indicateur_marquage_prix_vente;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;;X;iAICUniteMesureFacturation;;info_achat_information_commande;;;unite_mesure_facturation (IAIC_unite_mesure_facturation);;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;;X;iAICUniteMesureCommande;;info_achat_information_commande;;;unite_mesure_commande (IAIC_unite_mesure_commande);;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;;;quantiteMinimumCommande;;info_achat_information_commande;;;quantite_minimum_commande;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;;X;iAICEntite;;info_achat_information_commande;;;proprietaire (IAIC_entite);;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;;;dateCreation;;info_achat_information_commande;;;date_creation;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;;;dateMaj;;info_achat_information_commande;;;date_maj;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;achatFournisseur;;identifiantUniqueAchatFournisseur;;info_achat_information_commande;;achat_fournisseur;identifiant_unique_achat_fournisseur;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;achatFournisseur;;identifiantUniqueFournisseur;;info_achat_information_commande;;achat_fournisseur;identifiant_unique_fournisseur;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;achatFournisseur;;codeProduitFournisseur;;info_achat_information_commande;;achat_fournisseur;code_produit_fournisseur;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;achatFournisseur;;libelleProduitFournisseur;;info_achat_information_commande;;achat_fournisseur;libelle_produit_fournisseur;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;achatFournisseur;;datePremiereCommande;;info_achat_information_commande;;achat_fournisseur;date_premiere_commande;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;achatFournisseur;;dateDernierJourCommande;;info_achat_information_commande;;achat_fournisseur;date_dernier_jour_commande;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;achatFournisseur;;multipleCommande;;info_achat_information_commande;;achat_fournisseur;multiple_commande;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;achatFournisseur;;gtinCommande;;info_achat_information_commande;;achat_fournisseur;gtin_commande;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;achatFournisseur;;nombrePointIncitation;;info_achat_information_commande;;achat_fournisseur;nombre_point_incitation;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;dureeDeVie;;identifiantUniqueDureeVie;;info_achat_information_commande;;duree_de_vie;identifiant_unique_duree_vie;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;dureeDeVie;;dureeVieDerogatoire;;info_achat_information_commande;;duree_de_vie;duree_vie_derogatoire;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;dureeDeVie;;dateDebutDureeVieDerogatoire;;info_achat_information_commande;;duree_de_vie;date_debut_duree_vie_derogatoire;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;dureeDeVie;;dateFinDureeVieDerogatoire;;info_achat_information_commande;;duree_de_vie;date_fin_duree_vie_derogatoire;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;coutTransport;;identifiantUniqueCoutTransport;;info_achat_information_commande;;cout_transport;identifiant_unique_cout_transport;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;coutTransport;;coutTransport;;info_achat_information_commande;;cout_transport;cout_transport;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;coutTransport;;quantiteCoutTransport;;info_achat_information_commande;;cout_transport;quantite_cout_transport;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;coutTransport;;gtinCoutTransport;;info_achat_information_commande;;cout_transport;gtin_cout_transport;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;coutTransport;;dateDebutValidite;;info_achat_information_commande;;cout_transport;date_debut_validite;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;coutTransport;;dateFinValidite;;info_achat_information_commande;;cout_transport;date_fin_validite;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;contratDvrc;;identifiantUniqueContratDvrc;;info_achat_information_commande;;contrat_DVRC;identifiant_unique_contrat_dvrc;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;contratDvrc;;identifiantUniqueContractContratDvrc;;info_achat_information_commande;;contrat_DVRC;identifiant_unique_contract_contrat_dvrc;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;contratDvrc;;dateAffectationContratProduit;;info_achat_information_commande;;contrat_DVRC;date_affectation_contrat_produit;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;contratDvrc;X;iAICStatutDvrc;;info_achat_information_commande;;contrat_DVRC;identifiant_unique_statut_dvrc (IAIC_statut_dvrc);;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;contratDvrc;X;iAICDureeVieProduit;;info_achat_information_commande;;contrat_DVRC;duree_vie_restant_a_courir (IAIC_duree_vie_produit);;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;contratSelectionGamme;;identifiantUniqueContratSelectionGamme;;info_achat_information_commande;;contrat_selection_gamme;identifiant_unique_contrat_selection_gamme;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;contratSelectionGamme;;identifiantUniqueContractContratSelectionGamme;;info_achat_information_commande;;contrat_selection_gamme;identifiant_unique_contract_contrat_selection_gamme;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;contratSelectionGamme;;dateDebutReferencement;;info_achat_information_commande;;contrat_selection_gamme;date_debut_referencement;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;contratSelectionGamme;;dateFinReferencement;;info_achat_information_commande;;contrat_selection_gamme;date_fin_referencement;;
/infoAchatGeneralite/infoAchatInformationCommande;infoAchatInformationCommande;;contratSelectionGamme;X;iAICStatutDeReferencement;;info_achat_information_commande;;contrat_selection_gamme;statut_selection (IAIC_statut_de_referencement);;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;;;identifiantUniqueInfoAchatProvenance;;info_achat_provenance;;;identifiant_unique_info_achat_provenance;;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;;;zoneGeographiqueProvenance;;info_achat_provenance;;;zone_geographique_provenance;;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;;X;iAPEntite;;info_achat_provenance;;;proprietaire (IAP_entite);;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;;;dateCreation;;info_achat_provenance;;;date_creation;;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;;;dateMaj;;info_achat_provenance;;;date_maj;;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;provenance;;identifiantUniqueProvenance;;info_achat_provenance;;provenance;identifiant_unique_provenance;;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;provenance;X;iAPTypeDeProvenance;;info_achat_provenance;;provenance;identifiant_unique_type_provenance (IAP_type_de_provenance);;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;provenance;;informationProvenance;;info_achat_provenance;;provenance;information provenance;;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;provenance;;libelleProvenance;;info_achat_provenance;;provenance;libellé provenance;;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;provenance;X;iAPPaysProvenance;;info_achat_provenance;;provenance;identifiant_unique_pays_type_provenance (IAP_pays_provenance);;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;provenance;X;iAPRegionProvenance;;info_achat_provenance;;provenance;identifiant_unique_region_type_provenance (IAP_region_provenance);;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;provenance;X;iAPDepartementOrigine;;info_achat_provenance;;provenance;identifiant_unique_departement_origine (IAP_departement_origine);;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;provenance;X;iAPZoneFao;;info_achat_provenance;;provenance;identifiant_unique_zone_fao (IAP_zone_fao);;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;provenance;X;iAPZoneGeographiqueProvenance;;info_achat_provenance;;provenance;zone_geographique_provenance (IAP_zone_geographique_provenance);;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;marchePartage;;identifiantUniqueMarchePartage;;info_achat_provenance;;marche_partage;identifiant_unique_marche_partage;;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;marchePartage;X;iAPTypeDeMarchePartage;;info_achat_provenance;;marche_partage;identifiant_unique_type_marche_partage (IAP_type_de_marche_partage);;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;marchePartage;X;iAPEntiteCentraleDestinataire;;info_achat_provenance;;marche_partage;identifiant_unique_centrale_destinataire (IAP_entite_centrale_destinataire);;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;marchePartage;;dateDebutValidite;;info_achat_provenance;;marche_partage;date_debut_validite;;
/infoAchatGeneralite/infoAchatProvenance;infoAchatProvenance;;marchePartage;;dateFinValidite;;info_achat_provenance;;marche_partage;date_fin_validite;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;;identifiantUniqueInfoAchatSpecificiteMarche;;info_achat_specificite_marche;;;identifiant_unique_info_achat_specificite_marche;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;X;iASMMouvementParkod;;info_achat_specificite_marche;;;code_mouvement (IASM_mouvement_parkod);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;;saisonnalite;;info_achat_specificite_marche;;;saisonnalite;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;;indicateurCintre;;info_achat_specificite_marche;;;indicateur_cintre;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;;indicateurBoiteChaussureFournie;;info_achat_specificite_marche;;;indicateur_boite_chaussure_fournie;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;X;iASMMatiereDessusChaussure;;info_achat_specificite_marche;;;matiere_dessus_chaussure (IASM_matiere_dessus_chaussure);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;X;iASMMatiereDicalisDoublureChaussure;;info_achat_specificite_marche;;;matiere_doublure_chaussure (IASM_matiere_dicalis_doublure_chaussure);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;X;iASMMatiereDicalisPremiereChaussure;;info_achat_specificite_marche;;;matiere_premiere_chaussure (IASM_matiere_dicalis_premiere_chaussure);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;X;iASMMatiereDicalisSemelleChaussure;;info_achat_specificite_marche;;;matiere_semelle_chaussure (IASM_matiere_dicalis_semelle_chaussure);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;X;iASMMatiereDicalisPatinChaussure;;info_achat_specificite_marche;;;matiere_patin_chaussure (IASM_matiere_dicalis_patin_chaussure);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;X;iASMDureeDeVieProduit;;info_achat_specificite_marche;;;identifiant_unique_duree_vie_produit (IASM_duree_de_vie_produit);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;X;iASMModeDeGestionTextile;;info_achat_specificite_marche;;;identifiant_unique_mode_gestion (IASM_mode_de_gestion_textile);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;;grammage;;info_achat_specificite_marche;;;grammage;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;X;iASMUniteMesureGrammage;;info_achat_specificite_marche;;;unite_grammage (IASM_unite_mesure_grammage);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;X;iASMTypeDeVetement;;info_achat_specificite_marche;;;identifiant_unique_type_vetement (IASM_type_de_vetement);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;X;iASMTechnologieContexture;;info_achat_specificite_marche;;;identifiant_unique_type_technologie_contexture (IASM_technologie_contexture);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;X;iASMTypeDeComposition;;info_achat_specificite_marche;;;identifiant_unique_type_composition (IASM_type_de_composition);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;;pourcentage;;info_achat_specificite_marche;;;pourcentage;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;;matiere;;info_achat_specificite_marche;;;matiere;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;;themeModele;;info_achat_specificite_marche;;;theme_modele;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;;flagEmballageIndividuel;;info_achat_specificite_marche;;;flag_emballage_individuel;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;X;iASMEntite;;info_achat_specificite_marche;;;proprietaire (IASM_entite);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;;dateCreation;;info_achat_specificite_marche;;;date_creation;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;;;dateMaj;;info_achat_specificite_marche;;;date_maj;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;tailleColoris;;identifiantUniqueTailleColoris;;info_achat_specificite_marche;;taille_coloris;identifiant_unique_taille_coloris;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;tailleColoris;;gtinTco;;info_achat_specificite_marche;;taille_coloris;gtin_tco;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;tailleColoris;X;iASMTypeDeTaille;;info_achat_specificite_marche;;taille_coloris;type_taille (IASM_type_de_taille);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;tailleColoris;X;iASMTaille;;info_achat_specificite_marche;;taille_coloris;identifiant_unique_taille (IASM_taille);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;tailleColoris;;ordreTaille;;info_achat_specificite_marche;;taille_coloris;ordre_taille;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;tailleColoris;;coloris;;info_achat_specificite_marche;;taille_coloris;coloris;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;tailleColoris;;ordreColoris;;info_achat_specificite_marche;;taille_coloris;ordre_coloris;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;tailleColoris;;anneeTailleColoris;;info_achat_specificite_marche;;taille_coloris;annee_taille_coloris;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;tailleColoris;X;iASMSaisonTextile;;info_achat_specificite_marche;;taille_coloris;saison (IASM_saison_textile);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;tailleColorisFournisseur;;identifiantUniqueTailleColorisFournisseur;;info_achat_specificite_marche;;taille_coloris_fournisseur;identifiant_unique_taille_coloris_fournisseur;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;tailleColorisFournisseur;;identifiantUniqueFournisseur;;info_achat_specificite_marche;;taille_coloris_fournisseur;identifiant_unique_fournisseur;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;tailleColorisFournisseur;;datePremiereCommandeTco;;info_achat_specificite_marche;;taille_coloris_fournisseur;date_premiere_commande_tco;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;tailleColorisFournisseur;;dateDerniereCommandeTco;;info_achat_specificite_marche;;taille_coloris_fournisseur;date_derniere_commande_tco;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;livraisonTextile;;identifiantUniqueLivraisonTextile;;info_achat_specificite_marche;;livraison_textile;identifiant_unique_livraison_textile;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;livraisonTextile;;dateLivraison;;info_achat_specificite_marche;;livraison_textile;date_livraison;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;livraisonTextile;;anneeLivraisonTextile;;info_achat_specificite_marche;;livraison_textile;annee_livraison_textile;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;livraisonTextile;X;iASMSaisonTextileLivraison;;info_achat_specificite_marche;;livraison_textile;saison (IASM_saison_textile_livraison);;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;proprieteSuiteATraitementTextile;;identifiantUniqueProprieteSuiteATraitement;;info_achat_specificite_marche;;propriete_suite_a_traitement_textile;identifiant_unique_propriete_suite_a_traitement;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;proprieteSuiteATraitementTextile;;proprieteSuiteATraitement;;info_achat_specificite_marche;;propriete_suite_a_traitement_textile;propriete_suite_a_traitement;;
/infoAchatGeneralite/infoAchatSpecificiteMarche;infoAchatSpecificiteMarche;;proprieteSuiteATraitementTextile;X;iASMTypeDeTraitement;;info_achat_specificite_marche;;propriete_suite_a_traitement_textile;identifiant_unique_type_traitement (IASM_type_de_traitement);;
/logistiqueIdentification;logistiqueIdentification;;;;identifiantUniqueLogistiqueIdentification;;logistique_identification;;;identifiant_unique_logistique_identification;;
/logistiqueIdentification;logistiqueIdentification;;;;gtin;;logistique_identification;;;gtin;;
/logistiqueIdentification;logistiqueIdentification;;;;codeSap;;logistique_identification;;;code_sap;;
/logistiqueIdentification;logistiqueIdentification;;;;libelleStandard;;logistique_identification;;;libelle_standard;;
/logistiqueIdentification;logistiqueIdentification;;;X;lITypeUniteLogistique;;logistique_identification;;;type_unite_logistique (LI_type_unite_logistique);;
/logistiqueIdentification;logistiqueIdentification;;;;flagPresentoir;;logistique_identification;;;flag_presentoir;;
/logistiqueIdentification;logistiqueIdentification;;;;identifiantUniqueFournisseur;;logistique_identification;;;identifiant_unique_fournisseur;;
/logistiqueIdentification;logistiqueIdentification;;;;indicateurQuantiteLimitee;;logistique_identification;;;indicateur_quantite_limitee;;
/logistiqueIdentification;logistiqueIdentification;;;;flagPassageEnCaisse;;logistique_identification;;;flag_passage_en_caisse;;
/logistiqueIdentification;logistiqueIdentification;;;;datePremiereCommande;;logistique_identification;;;date_premiere_commande;;
/logistiqueIdentification;logistiqueIdentification;;;X;lITypeDeSupport;;logistique_identification;;;identifiant_unique_type_de_support (LI_type_de_support);;
/logistiqueIdentification;logistiqueIdentification;;;X;lIEntite;;logistique_identification;;;proprietaire (LI_entite);;
/logistiqueIdentification;logistiqueIdentification;;;;dateCreation;;logistique_identification;;;date_creation;;
/logistiqueIdentification;logistiqueIdentification;;;;dateMaj;;logistique_identification;;;date_maj;;
/logistiqueIdentification;logistiqueIdentification;;hierarchieUl;;identifiantUniqueHierarchieUl;;logistique_identification;;hierarchie_ul;identifiant_unique_hierarchie_ul;;
/logistiqueIdentification;logistiqueIdentification;;hierarchieUl;;nombreUniteRangInferieurContenuDansUl;;logistique_identification;;hierarchie_ul;nombre_unite_rang_inferieur_contenu_dans_ul;;
/logistiqueIdentification;logistiqueIdentification;;hierarchieUl;;identifiantUniqueComposeUl;;logistique_identification;;hierarchie_ul;identifiant_unique_compose_ul;;
/logistiqueIdentification;logistiqueIdentification;;hierarchieUl;;identifiantUniqueComposantUl;;logistique_identification;;hierarchie_ul;identifiant_unique_composant_ul;;
/logistiqueIdentification;logistiqueIdentification;;palettisation;;identifiantUniquePalettisation;;logistique_identification;;palettisation;identifiant_unique_palettisation;;
/logistiqueIdentification;logistiqueIdentification;;palettisation;;nombreUcContenuDansUl;;logistique_identification;;palettisation;nombre_uc_contenu_dans_ul;;
/logistiqueIdentification;logistiqueIdentification;;palettisation;;identifiantUniqueDonneeGeneraleIdentification;;logistique_identification;;palettisation;identifiant_unique_donnees_generales_identification;"manque les 's' pour ""donnees"" et ""generales""";
/logistiqueIdentification;logistiqueIdentification;;travailleAvec;;identifiantUniqueTravailleAvec;;logistique_identification;;travaille_avec;identifiant_unique_travaille_avec;;
/logistiqueIdentification;logistiqueIdentification;;travailleAvec;X;lIEntiteSelection;;logistique_identification;;travaille_avec;entite_selection (LI_entite_selection);;
/logistiqueIdentification;logistiqueIdentification;;travailleAvec;;flagTravailleAvec;;logistique_identification;;travaille_avec;flag_travaille_avec;;
/logistiqueIdentification;logistiqueIdentification;;travailleAvec;;dateDebut;;logistique_identification;;travaille_avec;date_debut;;
/logistiqueIdentification;logistiqueIdentification;;travailleAvec;;dateFin;;logistique_identification;;travaille_avec;date_fin;;
/logistiqueIdentification;logistiqueIdentification;logistiqueInformationCommande;;;;;logistique_identification;;logistique_information_commande;;;
/logistiqueIdentification;logistiqueIdentification;logistiqueSupportEmballage;;;;;logistique_identification;;logistique_support_emballage;;;
/logistiqueIdentification;logistiqueIdentification;logistiqueSpecificiteMarche;;;;;logistique_identification;;logistique_specificite_marche;;;
/logistiqueIdentification;logistiqueIdentification;articleTypeBox;;;;;logistique_identification;;article_type_box;;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;;;identifiantUniqueLogistiqueInformationCommande;;logistique_information_commande;;;identifiant_unique_logistique_information_commande;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;;;gtin;;logistique_information_commande;;;gtin;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;;;quantiteMiniCommande;;logistique_information_commande;;;quantite_mini_commande;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;;;quantiteUvcDansUl;;logistique_information_commande;;;quantite_uvc_dans_ul;;
